Date,Open,High,Low,Close,Adj Close,Volume
2008-09-09,195503,198199,186310,191213,189088.1719,128018
2008-09-10,184471,188148,171601,171601,169694.1094,521491
2008-09-11,172949,175768,169885,171724,169815.7344,320328
2008-09-12,174052,179568,172949,177852,175875.6563,173009
2008-09-16,161918,175278,161918,171601,169694.1094,199403
2008-09-17,174052,179568,174052,177239,175269.4844,137382
2008-09-18,171846,172827,168537,170498,168603.375,154759
2008-09-19,181284,187413,177730,181407,179391.1563,485053
2008-09-22,183858,183858,175278,175278,173330.2656,217175
2008-09-23,176136,176136,173072,175033,173087.9844,193017
2008-09-24,176014,182020,174420,178833,176845.7813,295307
2008-09-25,178833,185207,174665,183368,181330.3594,400454
2008-09-26,183368,187535,182755,183613,181572.6406,377711
2008-09-29,185697,189987,185697,188271,186178.8906,261034
2008-09-30,180794,185329,177730,183858,181814.9219,313829
2008-10-01,186310,188884,182265,183613,181572.6406,334799
2008-10-02,184716,185574,172459,177730,175755.0156,213358
2008-10-06,176504,177117,162286,163879,162057.9219,591609
2008-10-07,159344,162531,153338,161918,160118.7188,323157
2008-10-08,149170,154196,144022,147087,145452.5469,465417
2008-10-09,147087,152357,144145,146841,145209.2656,540320
2008-10-10,139732,146964,134584,144390,142785.4844,323668
2008-10-13,151989,151989,147087,148312,146663.9219,282179
2008-10-14,162898,169517,160570,167311,165451.7969,450602
2008-10-15,163021,168292,162163,164860,163028.0156,139329
2008-10-16,153338,156034,146841,150764,149088.6563,205282
2008-10-17,159344,163021,149783,151989,150300.0625,257614
2008-10-20,153215,160202,146596,160202,158421.7969,196279
2008-10-21,161918,165840,153951,161182,159390.9219,140289
2008-10-22,159344,159344,149783,154441,152724.8281,154681
2008-10-23,143409,152725,138384,145861,144240.125,183596
2008-10-24,150764,152357,134584,140345,138785.4219,297201
2008-10-27,136423,146351,134829,144635,143027.7813,250586
2008-10-28,137281,148680,137281,143164,141573.1406,342269
2008-10-29,158118,158854,136668,138507,136967.8594,471675
2008-10-30,153093,159221,149783,158731,156967.1406,438914
2008-10-31,159221,166576,153215,165350,163512.5938,290776
2008-11-03,166576,174788,164247,174788,172845.7031,271404
2008-11-04,174788,177117,165595,169885,167997.2031,223590
2008-11-05,174052,175891,156034,156770,155027.9375,564916
2008-11-06,148557,153828,146841,150396,148724.75,231332
2008-11-07,145738,154809,138139,150273,148603.1406,347874
2008-11-10,152112,157383,151622,157138,155391.8125,223973
2008-11-11,154073,155667,148312,149783,148118.5781,143402
2008-11-12,146351,152112,145248,150764,149088.6563,127017
2008-11-13,143409,157628,142306,153828,152118.6094,155126
2008-11-14,159221,159712,153828,156279,154542.4219,181980
2008-11-17,156892,156892,146964,147087,145452.5469,250909
2008-11-18,140958,143409,133358,133726,132240.0156,451395
2008-11-19,135810,136668,123185,126740,125331.6328,431282
2008-11-20,122450,122572,112154,115340,114058.3047,501338
2008-11-21,110928,132378,108844,131765,130300.7969,519129
2008-11-24,128946,132746,121959,121959,120603.7578,217298
2008-11-25,128823,131765,124166,129926,128482.2188,213791
2008-11-26,130539,140345,130539,134462,132967.8281,288890
2008-11-27,139732,147087,136913,142919,141330.875,484798
2008-11-28,145248,150764,139119,150151,148482.4688,325669
2008-12-01,149538,150151,139732,139732,138179.2813,209672
2008-12-02,122572,136668,122572,132378,130906.9766,232516
2008-12-03,137281,137894,125636,126862,125452.2734,277306
